KO	EC	Pathway	Brite	KO_Name
K09461	1.14.13.40	ko00627		E1.14.13.40; anthraniloyl-CoA monooxygenase
K04960		ko05020;ko05022;ko05010;ko05012;ko04750;ko04972;ko05163;ko05014;ko04922;ko04022;ko04020;ko04935;ko04934;ko05170;ko04724;ko04540;ko04713;ko04611;ko04730;ko04971;ko04970;ko04918;ko04371;ko05017;ko04912;ko04911;ko05205;ko04915;ko05131;ko04070;ko04210;ko04114;ko04726;ko04742;ko04720;ko04218;ko05167;ko04921;ko04728;ko04927;ko04924;ko04925;ko04621;ko04725;ko04928;ko04929;ko04625;ko04270;ko04723	ko04040;ko01009	ITPR3; inositol 1,4,5-triphosphate receptor type 3
K04961		ko05020;ko05022;ko05017;ko04020;ko04921;ko04371;ko04713;ko04730	ko04147;ko01009;ko04040	RYR1; ryanodine receptor 1
K04962		ko04972;ko05020;ko05022;ko05415;ko05414;ko04911;ko04024;ko05410;ko04020;ko04261;ko04260;ko04921;ko04371;ko04713;ko05412	ko04990;ko04040	RYR2; ryanodine receptor 2
K04963		ko04970;ko05012;ko05020;ko05022;ko05010;ko04020;ko04921;ko04371;ko04713	ko04040	RYR3; ryanodine receptor 3
K04964		ko04972;ko04360;ko04724;ko04726;ko04929	ko04040	TRPC1; transient receptor potential cation channel subfamily C member 1
K04965			ko04040	TRPC2; transient receptor potential cation channel subfamily C member 2
K04966		ko04360;ko05022;ko05017	ko04040	TRPC3; transient receptor potential cation channel subfamily C member 3
K04967		ko04929;ko04360;ko04745	ko04040	TRPC4; transient receptor potential cation channel subfamily C member 4
K04968		ko04929;ko04360	ko04040;ko01009	TRPC5; transient receptor potential cation channel subfamily C member 5
K04969		ko04360;ko04022	ko04040	TRPC6; transient receptor potential cation channel subfamily C member 6
K07437	1.14.14.-	ko00830	ko00199	CYP26A; cytochrome P450 family 26 subfamily A
K07436	1.14.15.16	ko04928;ko00100;ko05206	ko00199	CYP24A1; vitamin D3 24-hydroxylase
K07435	1.14.-.-		ko00199	CYP20A; cytochrome P450 family 20 subfamily A
K07434	1.14.14.14	ko00140;ko04913	ko00199	CYP19A; aromatase
K07433	1.14.15.5;1.14.15.4	ko00140;ko04925	ko00199	CYP11B2; steroid 11beta-monooxygenase / corticosterone 18-monooxygenase
K07432	2.4.1.141	ko00513;ko00510	ko01003	ALG13; beta-1,4-N-acetylglucosaminyltransferase
K07431	1.14.14.139	ko03320;ko00120	ko00199	CYP8B1; sterol 12-alpha-hydroxylase
K07430	1.14.14.29	ko00140;ko00120	ko00199	CYP7B; 25/26-hydroxycholesterol 7alpha-hydroxylase
K07439	1.14.14.26	ko00120	ko00199	CYP39A1; 24-hydroxycholesterol 7alpha-hydroxylase
K07438	1.14.15.18	ko04928;ko00100;ko05152	ko00199	CYP27B1; calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase)
K11805			ko03036;ko04121	DCAF7, HAN11; DDB1- and CUL4-associated factor 7
K11804			ko04121	DCAF8; DDB1- and CUL4-associated factor 8
K11807			ko04121	WDTC1, DCAF9; WD and tetratricopeptide repeats protein 1
K11806			ko03009;ko04121	DCAF13, WDSOF1; DDB1- and CUL4-associated factor 13
K11801			ko04121	DCAF11; DDB1- and CUL4-associated factor 11
K11800			ko04121	DCAF5, BCRP2; DDB1- and CUL4-associated factor 5
K11803			ko04121	DCAF12; DDB1- and CUL4-associated factor 12
K11802			ko04121	DCAF10; DDB1- and CUL4-associated factor 10
K11809	2.7.1.106	ko00500		PGM2L1; glucose-1,6-bisphosphate synthase
K11808	4.1.1.21	ko00230		ADE2; phosphoribosylaminoimidazole carboxylase
K01870	6.1.1.5	ko00970	ko03016;ko01007	IARS, ileS; isoleucyl-tRNA synthetase
K01873	6.1.1.9	ko00970	ko03016;ko01007	VARS, valS; valyl-tRNA synthetase
K01872	6.1.1.7	ko00970	ko03016;ko01007	AARS, alaS; alanyl-tRNA synthetase
K01875	6.1.1.11	ko00970	ko03016;ko01007	SARS, serS; seryl-tRNA synthetase
K01874	6.1.1.10	ko00450;ko00970	ko03016;ko01007	MARS, metG; methionyl-tRNA synthetase
K01876	6.1.1.12	ko00970	ko03029;ko03016;ko01007	DARS2, aspS; aspartyl-tRNA synthetase
K01879	6.1.1.14	ko00970	ko03016;ko01007	glyS; glycyl-tRNA synthetase beta chain
K01878	6.1.1.14	ko00970	ko03016;ko01007	glyQ; glycyl-tRNA synthetase alpha chain
K04714	2.7.8.27	ko04071;ko00600		SGMS; shingomyelin synthase
K13354		ko04146	ko02000	SLC25A17, PMP34; solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17
K22269	2.1.1.343	ko00998		rosA; 8-amino-8-demethylriboflavin N,N-dimethyltransferase
K22268	3.2.1.37	ko00520		xylA; xylan 1,4-beta-xylosidase
K22263			ko04131	EPG2; ectopic P granules protein 2
K22262			ko04131	WDFY3, ALFY; WD repeat and FYVE domain-containing protein 3
K22261			ko04131	SEPA1; protein sepa-1
K22260			ko04131	PEX15; peroxin-15
K22267			ko04131	STBD1; starch-binding domain-containing protein 1
K22266			ko04131;ko04054	NLRP10; NACHT, LRR and PYD domains-containing protein 10
K22265		ko05130	ko04131;ko04054	NLRP4; NACHT, LRR and PYD domains-containing protein 4
K22264			ko04131	NVJ1; nucleus-vacuole junction protein 1
K16718			ko03036	CNN; centrosomin
K16719			ko03036	KANSL3, RCD1; regulatory NSL complex subunit 3
K16714			ko03036	ANA1; anastral spindle 1
K16715			ko03036	ANA2; anastral spindle 2
K16717			ko03037;ko03036	CEP97; centrosomal protein CEP97
K16710		ko00543		wcaK, amsJ; colanic acid/amylovoran biosynthesis protein WcaK/AmsJ
K16711				wcaM; colanic acid biosynthesis protein WcaM
K16712		ko02020	ko02000	epsE; EPS I polysaccharide export inner membrane protein EpsE
K16713		ko02020	ko02000	epsF; EPS I polysaccharide export inner membrane protein EpsF
K03256			ko03016	TRM6, GCD10; tRNA (adenine58-N1)-methyltransferase non-catalytic subunit
K03369	2.4.3.-	ko00604	ko01003	ST8SIA5; alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8E)
K03368	2.4.3.4;2.4.3.2	ko00603;ko00512;ko00533;ko00604	ko01003	ST3GAL2; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B)
K06429				sspL; small acid-soluble spore protein L (minor)
K06428				sspK; small acid-soluble spore protein K (minor)
K06427				sspJ; small acid-soluble spore protein J (minor)
K06426				sspI; small acid-soluble spore protein I (minor)
K06425				sspH; small acid-soluble spore protein H (minor)
K06424				sspG; small acid-soluble spore protein G (minor)
K06423				sspF; small acid-soluble spore protein F (minor alpha/beta-type SASP)
K06422				sspE; small acid-soluble spore protein E (minor gamma-type SASP)
K06421				sspD; small acid-soluble spore protein D (minor alpha/beta-type SASP)
K06420				sspC; small acid-soluble spore protein C (minor alpha/beta-type SASP)
K21553	2.1.1.154			CHMT; isoliquiritigenin 2'-O-methyltransferase
K03365	3.5.4.1;3.5.4.21	ko00240;ko00330		FCY1; cytosine/creatinine deaminase
K18089		ko00625;ko00361;ko00362;ko00623		todB, tcbAc; benzene/toluene/chlorobenzene dioxygenase ferredoxin component
K05039			ko02000	SLC6A6, TAUT; solute carrier family 6 (neurotransmitter transporter, taurine) member 6
K19928			ko04131	ZP3; zona pellucida sperm-binding protein 3
K19929			ko04131	CDK5R2; cyclin-dependent kinase 5 activator 2
K14591				aroM; protein AroM
K19922			ko04131	TSPOAP1, BZRAP1, RIMBP1; peripheral-type benzodiazepine receptor-associated protein 1
K19923			ko04131	SPESP1; sperm equatorial segment protein 1
K19920			ko03037;ko04131	EQTN; equatorin
K19921			ko04131	PKDREJ; polycystic kidney disease and receptor for egg jelly-related protein
K19926			ko04131	ZP1; zona pellucida sperm-binding protein 1
K19927			ko04131	ZP2; zona pellucida sperm-binding protein 2
K19924			ko01002;ko04131	SPINK13; serine protease inhibitor Kazal-type 13
K19925			ko04131	TNP2; nuclear transition protein 2
K18037	3.1.3.48		ko01009	PTPN4, MEG; tyrosine-protein phosphatase non-receptor type 4
K18036	3.1.3.48		ko01009	PTPRV, ESP; receptor-type tyrosine-protein phosphatase V
K18035	3.1.3.48		ko01009	PTPRO; receptor-type tyrosine-protein phosphatase O
K18034	3.1.3.48		ko01009	PTPRH, SAP1; receptor-type tyrosine-protein phosphatase H
K18033	3.1.3.48		ko01009	PTPRE; receptor-type tyrosine-protein phosphatase epsilon
K18032	3.1.3.48		ko01009	PTPRA; receptor-type tyrosine-protein phosphatase A
K18031	1.13.11.61			nspLOX; linolenate 9R-lipoxygenase
K18030	1.17.2.1	ko00760		nicB; nicotinate dehydrogenase subunit B
K18039	3.1.3.48		ko01009	PTPN20; tyrosine-protein phosphatase non-receptor type 20
K18038	3.1.3.48		ko01009	PTPN9, MEG2; tyrosine-protein phosphatase non-receptor type 9
K24706		ko04340		SCUBE2; signal peptide, CUB and EGF-like domain-containing protein 2
K24707	2.7.1.16	ko00040		E2.7.1.16; ribulokinase
K21956			ko04131	DRAM2; DNA damage-regulated autophagy modulator protein 2
K21957			ko04131	FAM20A; pseudokinase FAM20A
K21950		ko05202	ko03000	HOXA9; homeobox protein Hox-A9
K21951		ko05202	ko03000	HOXA11; homeobox protein Hox-A11
K21952			ko04131	CASKIN, ANKS5; CASK-interacting protein
K05030		ko04972;ko04924	ko04040	CLCA3_4; calcium-activated chloride channel regulator 3/4
K21958	2.7.11.1		ko04131	FAM20C; extracellular serine/threonine protein kinase FAM20C
K21959			ko03000	ftsR; LysR family transcriptional regulator, cell division regulator
K24708	7.6.2.-		ko02000	K24708; ATP-binding cassette, subfamily B, putative efflux pump
K24709			ko02000	K24709; D-galactose transport system substrate-binding protein
K16629		ko04974		COL21A; collagen type XXI alpha
K16627	1.15.1.1		ko00536	SOD3; superoxide dismutase, Cu-Zn family
K13973		ko05146		AP; pore-forming peptide ameobapore
K13972		ko05146		IGL; galactose-inhibitable lectin intermediate subunit
K13971		ko05146		LGL; galactose-inhibitable lectin light subunit
K13970		ko05146		HGL; galactose-inhibitable lectin heavy subunit
K13977		ko05146		EHLIMA; LIM domain-containing protein
K13976		ko05146		EHPAK; p21-activated kinase
K13975		ko05146		PATMK; phagosome-associated TMK96
K13974		ko05146		EHCBP; calcium-binding protein
K13979	1.1.1.2	ko00010;ko00620;ko00561		yahK; alcohol dehydrogenase (NADP+)
K13978		ko05146		ACTNL; actinin-like protein
K20779	2.3.2.31		ko04121;ko03400	RNF168; E3 ubiquitin-protein ligase RNF168
K20778			ko03400	RAD51AP1; RAD51-associated protein 1
K20777	3.1.11.1		ko03400	EXD2; exonuclease 3'-5' domain-containing protein 2
K20776		ko03440	ko03036;ko04121;ko03400	BABAM, NBA1, MERIT40; BRISC and BRCA1-A complex member 1
K20775		ko03440	ko03400	UIMC1, RAP80; BRCA1-A complex subunit RAP80
K20774		ko03440	ko03400	FAM175A, ABRA1; BRCA1-A complex subunit Abraxas
K20773	3.1.-.-	ko03440	ko03400	RBBP8, CTIP; DNA endonuclease RBBP8
K20772	4.4.1.14	ko04016;ko00270	ko01007	ACS1_2_6; 1-aminocyclopropane-1-carboxylate synthase 1/2/6
K20771	1.14.-.-		ko00199	CYP711A1; carlactone C-19 oxidase
K20770	1.14.-.-		ko00199	CYP706B1; (+)-delta-cadinene 8-hydroxylase
K12596		ko03018	ko03019	TRF5; poly(A) RNA polymerase
K12597		ko03018	ko03019;ko03016	AIR1_2; protein AIR1/2
K12594		ko03018	ko03019	MPP6; M-phase phosphoprotein 6, fungi type
K12595		ko03018;ko03015	ko03019	SKI7; superkiller protein 7
K12592		ko03018	ko03019	C1D, LRP1; exosome complex protein LRP1
K12593		ko03018	ko03019	MPHOSPH6, MPP6; M-phase phosphoprotein 6, animal type
K12590		ko03018	ko03019	RRP46, EXOSC5; exosome complex component RRP46
K12591	3.1.13.-	ko03018	ko03019	RRP6, EXOSC10; exosome complex exonuclease RRP6
K12598	3.6.4.13	ko03018	ko03009;ko03019;ko03041;ko03016	MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1
K12599	3.6.4.13	ko03018	ko03019	SKI2, SKIV2L; antiviral helicase SKI2
K10990		ko03460	ko03400	RMI1, BRAP75; RecQ-mediated genome instability protein 1
K10991			ko03400	SWI5, SAE3; DNA repair protein Swi5/Sae3
K10992			ko03400	SFR1; Swi5-dependent recombination DNA repair protein 1
K10993		ko03460	ko03400	FAAP100; fanconi anemia core complex 100 kDa subunit
K10994	3.1.11.2	ko04218	ko03400	RAD9A; cell cycle checkpoint control protein RAD9A
K10995		ko04218	ko03400	RAD9B; cell cycle checkpoint control protein RAD9B
K10996			ko03400	HUS1B; checkpoint protein HUS1B
K10997			ko03036;ko03400	TIMELESS, TOF1, SWI1; replication fork protection complex subunit TIMELESS/Tof1/Swi1
K10998			ko03036;ko03400	TIPIN, CSM3, SWI3; replication fork protection complex subunit TIPIN/Csm3/Swi3
K10999	2.4.1.12		ko01003	CESA; cellulose synthase A
K12620		ko03018	ko03019	LSM1; U6 snRNA-associated Sm-like protein LSm1
K12621		ko03018;ko03040	ko03019;ko03041	LSM2; U6 snRNA-associated Sm-like protein LSm2
K12622		ko03018;ko03040	ko03019;ko03041	LSM3; U6 snRNA-associated Sm-like protein LSm3
K12623		ko03018;ko03040	ko03019;ko03041	LSM4; U6 snRNA-associated Sm-like protein LSm4
K12624		ko03018;ko03040	ko03019;ko03041	LSM5; U6 snRNA-associated Sm-like protein LSm5
K12625		ko03018;ko03040	ko03019;ko03041	LSM6; U6 snRNA-associated Sm-like protein LSm6
K12626		ko03018;ko03040	ko03019;ko03041	LSM7; U6 snRNA-associated Sm-like protein LSm7
K12627		ko03018;ko03040	ko03019;ko03041	LSM8; U6 snRNA-associated Sm-like protein LSm8
K12628	1.-.-.-	ko00998		pur10; puromycin biosynthesis protein Pur10
K12629	3.-.-.-	ko00998		pur7; puromycin biosynthesis protein Pur7
K10668	2.3.2.27		ko04121	RNF138; E3 ubiquitin-protein ligase RNF138
K10669	2.7.1.160		ko03016	TRPT1, TPT1; 2'-phosphotransferase
K10662	2.3.2.27		ko04121	MARCH7, AXOT; E3 ubiquitin-protein ligase MARCH7
K10663	2.3.2.27		ko04121	ATL4; E3 ubiquitin-protein ligase ATL4
K10660	2.3.2.27		ko04121	MARCH5; E3 ubiquitin-protein ligase MARCH5
K10661	2.3.2.27	ko04141	ko04121	MARCH6, DOA10; E3 ubiquitin-protein ligase MARCH6
K10666	2.3.2.27	ko04141	ko04121	RNF5; E3 ubiquitin-protein ligase RNF5
K10667	2.3.2.27		ko04121;ko03400	RNF8; E3 ubiquitin-protein ligase RNF8
K10664	2.3.2.27		ko04121	ATL6S; E3 ubiquitin-protein ligase ATL6/9/15/31/42/55
K10665	2.3.2.27		ko04121	MARCH10; E3 ubiquitin-protein ligase MARCH10
K15012		ko02020	ko02022	regA, regR, actR; two-component system, response regulator RegA
K15013	6.2.1.3	ko04920;ko00071;ko00061;ko03320	ko01004	ACSBG; long-chain-fatty-acid--CoA ligase ACSBG
K15010		ko04724;ko04068	ko03037	HOMER; homer
K15011	2.7.13.3	ko02020	ko01001;ko02022	regB, regS, actS; two-component system, sensor histidine kinase RegB
K15016	1.1.1.35;4.2.1.17	ko00720		K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase
K15017	1.2.1.75;1.2.1.76	ko00720		K15017; malonyl-CoA/succinyl-CoA reductase (NADPH)
K15014		ko05034	ko02000	SLC29A1_2_3, ENT1_2_3; solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3
K15015		ko05033;ko05032;ko04727;ko04721;ko04723	ko02000	SLC32A, VGAT; solute carrier family 32 (vesicular inhibitory amino acid transporter)
K15018	6.2.1.36	ko00720		K15018; 3-hydroxypropionyl-coenzyme A synthetase
K15019	4.2.1.116	ko00720		K15019; 3-hydroxypropionyl-coenzyme A dehydratase
K23945		ko05132		sseK2; type III secretion system effector
K23944		ko05132		sseK1; type III secretion system effector arginine glycosyltransferase
K23947	1.14.11.-	ko00380		DAO; 2-oxoglutarate-dependent dioxygenase
K23946	2.3.2.27	ko05132		slrP; E3 ubiquitin-protein ligase SlrP
K23941		ko05132	ko01002	pipA, gogA, gtgA; PipA/GogA/GtgA family effector protease
K23940		ko03013;ko05164;ko05207;ko05132	ko03036	KPNA1; importin subunit alpha-5
K23943		ko05132		sseK3; type III secretion system effector arginine glycosyltransferase
K23942		ko05132		gogB; Gifsy-1 prophage leucine-rich repeat protein
K23949			ko04131	SAMD9, SAMD9L; sterile alpha motif domain-contaning protein 9
K23948	1.6.5.9			E1.6.5.9; NADH:quinone reductase (non-electrogenic)
K01509	3.6.1.-	ko04742;ko00230		ENTPD2; adenosinetriphosphatase
K04759			ko02000	feoB; ferrous iron transport protein B
K04758			ko02000	feoA; ferrous iron transport protein A
K04757	2.7.11.1		ko01001;ko03021	rsbW; serine/threonine-protein kinase RsbW
K04756	1.11.1.28			ahpD; lipoyl-dependent peroxiredoxin subunit D
K01507	3.6.1.1	ko00190		ppa; inorganic pyrophosphatase
K01506	3.5.1.30	ko00310		davA; 5-aminopentanamidase
K01501	3.5.5.1	ko00627;ko00460;ko00643;ko00380;ko00910		E3.5.5.1; nitrilase
K01500	3.5.4.9	ko00720;ko00670		fchA; methenyltetrahydrofolate cyclohydrolase
K04751		ko02020		glnB; nitrogen regulatory protein P-II 1
K01502	3.5.5.7	ko00643		E3.5.5.7; aliphatic nitrilase
K15901			ko03016	TPRKB, CGI121; EKC/KEOPS complex subunit TPRKB/CGI121
K15902			ko03016	LAGE3, PCC1; EKC/KEOPS complex subunit LAGE3/PCC1
K15903			ko03016	GON7, PCC2; EKC/KEOPS complex subunit GON7
K15904	2.3.1.234;2.7.11.1		ko01001;ko03016	kae1-bud32; bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32
K15907	1.14.15.32	ko00909;ko00998	ko00199	ptlI, CYP183A; pentalenene oxygenase
K15908			ko03012	EAP1; protein EAP1
K15909	3.1.3.86	ko04910;ko00562;ko04666;ko04662;ko04070	ko04131	SHIP2, INPPL1; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2
K03907		ko05418;ko04933;ko04610	ko00535;ko04090;ko04091	THBD, CD141; thrombomodulin
K03906		ko05171;ko04610		F13B; coagulation factor XIII B polypeptide
K03905		ko05150;ko05171;ko04610;ko04611;ko04613	ko00536;ko04147	FGG; fibrinogen gamma chain
K03904		ko05171;ko04610;ko04611;ko04613	ko00536;ko04147	FGB; fibrinogen beta chain
K03903		ko05171;ko04610;ko04611;ko04613	ko00536;ko04147	FGA; fibrinogen alpha chain
K03902		ko04610		F5; coagulation factor V (labile factor)
K03901		ko04610;ko04933	ko00537;ko04090	F3, CD142; coagulation factor III (tissue factor)
K03900		ko04151;ko05165;ko05171;ko04512;ko04510;ko04610;ko04611;ko04613	ko04147;ko03110	VWF; von Willebrand factor
K03909		ko04610	ko01002;ko00536	TFPI; tissue factor pathway inhibitor
K03908		ko04610		PROS1; protein S
K02364	6.3.2.14;6.2.1.72	ko01053	ko01008	entF; L-serine---[L-seryl-carrier protein] ligase
K02365	3.4.22.49	ko04113;ko04111;ko04110;ko04114;ko05166	ko01002;ko03036	ESP1; separase
K02366	2.4.1.224;2.4.1.225	ko00534	ko01003	EXT1; glucuronyl/N-acetylglucosaminyl transferase EXT1
K02367	2.4.1.224;2.4.1.225	ko00534	ko01003	EXT2; glucuronyl/N-acetylglucosaminyl transferase EXT2
K02360		ko04320		ENC; a component of the cytoplasm (encore)
K02361	5.4.4.2	ko00130;ko01053		entC; isochorismate synthase
K02362	6.3.2.14;2.7.8.-	ko01053	ko01008	entD; enterobactin synthetase component D
K02363	6.3.2.14;6.2.1.71	ko01053	ko01008	entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate---[aryl-carrier protein] ligase
K02368	2.4.1.224	ko00534	ko01003	EXTL1; alpha-1,4-N-acetylglucosaminyltransferase EXTL1
K02369	2.4.1.223	ko00534	ko01003	EXTL2; alpha-1,4-N-acetylglucosaminyltransferase EXTL2
K13508	2.3.1.15;2.3.1.198	ko00564;ko00561	ko01004	GPAT; glycerol-3-phosphate acyltransferase
K13509	2.3.1.51	ko00564;ko04975;ko04072;ko00561	ko01004	AGPAT1_2; lysophosphatidate acyltransferase
K13502		ko04962;ko04130	ko04131;ko04147	STX4; syntaxin 4
K13503	4.1.3.27	ko00400		trpEG; anthranilate synthase
K13500	2.4.1.175;2.4.1.226	ko00532	ko01003	fcbD; chondroitin synthase
K13501	4.1.3.27;4.1.1.48;5.3.1.24	ko00400		TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase
K13506	2.3.1.15	ko00564;ko00561	ko01004	GPAT3_4, AGPAT9, AGPAT6; glycerol-3-phosphate O-acyltransferase 3/4
K13507	2.3.1.15;2.3.1.42	ko00564;ko00561	ko01004	GAT; glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase
K13504		ko04970;ko04911;ko04962;ko04721;ko04130	ko04131	VAMP2; vesicle-associated membrane protein 2
K13505		ko04145;ko04130	ko04131	VAMP3; vesicle-associated membrane protein 3
K22849	2.3.1.20	ko00561		DGAT3; diacylglycerol O-acyltransferase 3, plant
K22848	2.3.1.20	ko00561		DGAT2; diacylglycerol O-acyltransferase 2, plant
K22843	2.1.1.-			ETFBKMT, METTL20; ETFB lysine methyltransferase
K22842	2.3.1.271	ko00330		MRP; L-glutamate-5-semialdehyde N-acetyltransferase
K22841	2.5.1.146			famD2; 3-geranyl-3-[(Z)-2-isocyanoethenyl]indole synthase
K22840	2.3.1.272			phlB; 2-acetylphloroglucinol acetyltransferase
K22847	2.8.5.1	ko00270		cysK2; S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent)
K22846	2.5.1.144	ko00270		CS26; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)
K22845	2.4.1.357	ko00941	ko01003	PGT1; phlorizin synthase
K22844	2.4.1.356		ko01003	aglG; glucosyl-dolichyl phosphate glucuronosyltransferase
K03015		ko03020;ko05016	ko03021;ko03400;ko03019	RPB7, POLR2G; DNA-directed RNA polymerase II subunit RPB7
K03014		ko03020;ko04623;ko05016	ko03021;ko03400	RPABC2, RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2
K03017		ko03020;ko05016	ko03021;ko03400	RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9
K03016		ko03020;ko04623;ko05016	ko03021;ko03400	RPABC3, RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3
K03011		ko03020;ko05016	ko03021;ko03400	RPB3, POLR2C; DNA-directed RNA polymerase II subunit RPB3
K03010	2.7.7.6	ko03020;ko05016	ko03021;ko03400	RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2
K03013		ko03020;ko04623;ko05016	ko03021;ko03400	RPABC1, RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1
K03012		ko03020;ko05016	ko03021;ko03400	RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4
K03019		ko03020;ko04623	ko03021	RPC11, POLR3K; DNA-directed RNA polymerase III subunit RPC11
K03018	2.7.7.6	ko03020;ko04623	ko03021	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1
K06629		ko04110	ko03032	DBF4, ASK; protein DBF4
K06628		ko04113;ko04111;ko04110	ko03032	CDC45; cell division control protein 45
K06625		ko04066;ko04068;ko05165;ko04630;ko01522;ko01524;ko04934;ko05166;ko05219;ko05218;ko05217;ko05216;ko05215;ko05214;ko05213;ko05212;ko05211;ko05210;ko04110;ko04012;ko04115;ko05206;ko05226;ko05224;ko05225;ko05222;ko05223;ko05220;ko05169;ko04151;ko04218;ko05167;ko04921;ko05161;ko05160;ko05163;ko05205;ko04928;ko05200;ko05202;ko05203		CDKN1A, P21, CIP1; cyclin-dependent kinase inhibitor 1A
K06624		ko05226;ko05222;ko05220;ko05169;ko01522;ko04151;ko05165;ko04934;ko04110;ko04012;ko04066;ko04933;ko05162;ko05206;ko04068;ko05200;ko05215;ko05202;ko05203		CDKN1B, P27, KIP1; cyclin-dependent kinase inhibitor 1B
K06627		ko05165;ko05166;ko05221;ko05169;ko04152;ko04914;ko04218;ko04110;ko05161;ko05200;ko05202;ko05203	ko03036;ko03032	CCNA; cyclin-A
K06626		ko05226;ko05165;ko05222;ko05166;ko05200;ko05162;ko05169;ko04151;ko04218;ko04934;ko04110;ko05161;ko04115;ko04114;ko05206;ko04391;ko05215;ko05203	ko03036;ko03032	CCNE; G1/S-specific cyclin-E1
K06621		ko05225;ko05219;ko05220;ko04934;ko01522;ko01524;ko04218;ko05223;ko04110;ko04115;ko05218;ko05166;ko05163;ko05206;ko05214;ko05200;ko05212;ko05203		CDKN2A, P16, INK4A; cyclin-dependent kinase inhibitor 2A
K06620		ko01522;ko04934;ko05219;ko05218;ko05215;ko05214;ko05212;ko04110;ko05226;ko05224;ko05225;ko05222;ko05223;ko05220;ko05200;ko04218;ko05167;ko05166;ko05161;ko05160;ko05163;ko05206;ko05169	ko03000	E2F3; transcription factor E2F3
K06623		ko04068;ko04110		CDKN2D, P19, INK4D; cyclin-dependent kinase inhibitor 2D
K06622		ko04934;ko04110;ko01522;ko05202;ko05166		CDKN2C, P18, INK4C; cyclin-dependent kinase inhibitor 2C
K00667	2.3.1.86	ko00061	ko01004	FAS2; fatty acid synthase subunit alpha, fungi type
K00666	6.2.1.-		ko01004	K00666; fatty-acyl-CoA synthase
K00665	2.3.1.85	ko04910;ko04152;ko00061;ko04936	ko04147;ko01004	FASN; fatty acid synthase, animal type
K00664	2.3.1.84			ATF; alcohol O-acetyltransferase
K00663	2.3.1.82		ko01504	aacA; aminoglycoside 6'-N-acetyltransferase
K00662	2.3.1.81		ko01504	aacC; aminoglycoside 3-N-acetyltransferase
K00661	2.3.1.79			maa; maltose O-acetyltransferase
K00660	2.3.1.74	ko00941;ko00960;ko04712	ko01008	CHS; chalcone synthase
K00669	2.3.1.87	ko00380		AANAT; arylalkylamine N-acetyltransferase
K00668	2.3.1.86	ko00061	ko01004	FAS1; fatty acid synthase subunit beta, fungi type
K06997				yggS, PROSC; PLP dependent protein
K06996				K06996; uncharacterized protein
K06995				K06995; uncharacterized protein
K06994				K06994; putative drug exporter of the RND superfamily
K06993				K06993; ribonuclease H-related protein
K06992				K06992; uncharacterized protein
K06991				K06991; uncharacterized protein
K06990			ko04812	MEMO1; MEMO1 family protein
K06267		ko04512	ko00536;ko04090	HMMR, RHAMM, CD168; hyaluronan-mediated motility receptor
K06999				K06999; phospholipase/carboxylesterase
K06998	5.3.3.17	ko02024;ko00405		phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase
K06266		ko04512	ko04515;ko04090	CD47; CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
K00591	2.1.1.64;2.1.1.114	ko00130		COQ3; polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase
K00590	2.1.1.113		ko02048	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific)
K00592	2.1.1.127;2.1.1.259			RBCMT; [ribulose-bisphosphate carboxylase]/[fructose-bisphosphate aldolase]-lysine N-methyltransferase
K00595	2.1.1.196;2.1.1.289;2.1.1.132	ko00860		cobL-cbiET; precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase
K00594	1.1.3.41	ko00040;ko00051		xyoA, aldO; alditol oxidase
K00597	1.16.1.8			MTRR; methionine synthase reductase
K00596	4.1.1.64		ko01007	E4.1.1.64; 2,2-dialkylglycine decarboxylase (pyruvate)
